BeverageId	name	info	imagePath	hasCool	hasHot	remark	Category_id	Shop_id
G25	黑糖粉圓鮮奶	黑糖粉圓鮮奶人間極品	一芳/黑糖粉圓鮮奶.png	TRUE	TRUE	固定甜度	CM	G
G26	黑糖粉圓鮮奶茶	黑糖粉圓鮮奶茶好喝推推	一芳/黑糖粉圓鮮奶茶.png	TRUE	TRUE	固定甜度	CM	G
G27	古煞仙草茶	古煞仙草茶人間極品	一芳/古煞仙草茶.png	TRUE	TRUE		CX	G
G28	古釀冬瓜茶	古釀冬瓜茶好喝推推	一芳/古釀冬瓜茶.png	TRUE	TRUE		CE	G
G29	鹿港麵茶	鹿港麵茶人間極品	一芳/鹿港麵茶.png	TRUE	TRUE		CX	G
G30	鹿野薑茶	鹿野薑茶好喝推推	一芳/鹿野薑茶.png	TRUE	TRUE		CX	G
G31	薑汁檸檬	薑汁檸檬人間極品	一芳/薑汁檸檬.png	TRUE	TRUE		CX	G
G32	薑汁桂圓	薑汁桂圓好喝推推	一芳/薑汁桂圓.png	TRUE	TRUE		CX	G
G33	桂圓紅棗茶	桂圓紅棗茶人間極品	一芳/桂圓紅棗茶.png	TRUE	TRUE		CX	G
G34	大甲芋頭鮮奶	大甲芋頭鮮奶好喝推推	一芳/大甲芋頭鮮奶.png	TRUE	TRUE		CM	G
G35	大甲芋頭鮮奶綠	大甲芋頭鮮奶綠人間極品	一芳/大甲芋頭鮮奶綠.png	TRUE	TRUE		CG	G
G36	台灣甘蔗牛奶	台灣甘蔗牛奶好喝推推	一芳/台灣甘蔗牛奶.png	TRUE	TRUE		CM	G
G37	台灣甘蔗青茶	台灣甘蔗青茶人間極品	一芳/台灣甘蔗青茶.png	TRUE	TRUE		CR	G
H01	原鄉四季	原鄉四季好喝推推	清心福全/原鄉四季.png	TRUE	TRUE		CX	H
H02	特級綠茶	特級綠茶人間極品	清心福全/特級綠茶.png	TRUE	TRUE		CG	H
H03	烏龍綠茶	烏龍綠茶好喝推推	清心福全/烏龍綠茶.png	TRUE	TRUE		CG	H
H04	翡翠烏龍	翡翠烏龍人間極品	清心福全/翡翠烏龍.png	TRUE	TRUE		CO	H
H05	極品清茶	極品清茶好喝推推	清心福全/極品清茶.png	TRUE	TRUE		CR	H
H06	錫蘭紅茶	錫蘭紅茶人間極品	清心福全/錫蘭紅茶.png	TRUE	TRUE		CB	H
H07	嚴選高山茶	嚴選高山茶好喝推推	清心福全/嚴選高山茶.png	TRUE	TRUE		CX	H
H08	特選普洱	特選普洱人間極品	清心福全/特選普洱.png	TRUE	TRUE		CX	H
H09	優多綠茶	優多綠茶好喝推推	清心福全/優多綠茶.png	TRUE	TRUE		CG	H
H10	優多檸檬	優多檸檬人間極品	清心福全/優多檸檬.png	TRUE	TRUE		CF	H
H11	優多葡萄柚	優多葡萄柚好喝推推	清心福全/優多葡萄柚.png	TRUE	TRUE		CF	H
H12	錫蘭奶紅	錫蘭奶紅人間極品	清心福全/錫蘭奶紅.png	TRUE	TRUE		CM	H
H13	特級奶綠	特級奶綠好喝推推	清心福全/特級奶綠.png	TRUE	TRUE		CG	H
H14	烏龍奶茶	烏龍奶茶人間極品	清心福全/烏龍奶茶.png	TRUE	TRUE		CM	H
