BeverageId,name,info,imagePath,hasCold,hasHot,remark,Category,Shop
D24,紅豆鮮奶,紅豆鮮奶好喝推推,迷客夏/紅豆鮮奶.jpg,t,t, ,CM,D
D25,芝麻鮮奶,芝麻鮮奶人間極品,迷客夏/芝麻鮮奶.jpg,t,t, ,CM,D
D26,紅豆芝麻鮮奶,紅豆芝麻鮮奶好喝推推,迷客夏/紅豆芝麻鮮奶.jpg,t,t, ,CM,D
D27,桂圓鮮奶,桂圓鮮奶人間極品,迷客夏/桂圓鮮奶.jpg,t,t, ,CM,D
D28,伯爵紅茶鮮豆奶（綠/烏/青/麥/大正）,伯爵紅茶鮮豆奶（綠/烏/青/麥/大正）好喝推推,迷客夏/伯爵紅茶鮮豆奶（綠/烏/青/麥/大正）.jpg,t,t, ,CB,D
D29,珍珠奶茶鮮豆奶（布丁/仙草凍/紅豆）,珍珠奶茶鮮豆奶（布丁/仙草凍/紅豆）人間極品,迷客夏/珍珠奶茶鮮豆奶（布丁/仙草凍/紅豆）.jpg,t,t, ,CM,D
D30,出雲抹茶鮮豆奶,出雲抹茶鮮豆奶好喝推推,迷客夏/出雲抹茶鮮豆奶.jpg,t,t, ,CM,D
D31,冬瓜鮮豆奶,冬瓜鮮豆奶人間極品,迷客夏/冬瓜鮮豆奶.jpg,t,t, ,CM,D
D32,布丁鮮豆奶,布丁鮮豆奶好喝推推,迷客夏/布丁鮮豆奶.jpg,t,t, ,CM,D
D33,原鄉冬瓜茶,原鄉冬瓜茶人間極品,迷客夏/原鄉冬瓜茶.jpg,t,t, ,CE,D
D34,冬瓜青茶,冬瓜青茶好喝推推,迷客夏/冬瓜青茶.jpg,t,t, ,CE,D
D35,蜂農花蜜茶,蜂農花蜜茶人間極品,迷客夏/蜂農花蜜茶.jpg,t,t, ,CX,D
D36,冰糖洛神梅,冰糖洛神梅好喝推推,迷客夏/冰糖洛神梅.jpg,t,t, ,CX,D
D37,養樂多綠,養樂多綠人間極品,迷客夏/養樂多綠.jpg,t,f, ,CG,D
D38,甘蔗青茶,甘蔗青茶好喝推推,迷客夏/甘蔗青茶.jpg,t,t, ,CX,D
D39,香柚綠茶,香柚綠茶人間極品,迷客夏/香柚綠茶.jpg,t,f, ,CG,D
D40,青檸香茶,青檸香茶好喝推推,迷客夏/青檸香茶.jpg,t,f, ,CX,D
D41,冬瓜檸檬,冬瓜檸檬人間極品,迷客夏/冬瓜檸檬.jpg,t,t, ,CE,D
D42,金桔檸檬,金桔檸檬好喝推推,迷客夏/金桔檸檬.jpg,t,t, ,CF,D
D43,冰萃檸檬,冰萃檸檬人間極品,迷客夏/冰萃檸檬.jpg,t,f, ,CF,D
D44,冰萃柳丁,冰萃柳丁好喝推推,迷客夏/冰萃柳丁.jpg,t,f, ,CF,D
D45,柳丁綠茶（青）,柳丁綠茶（青）人間極品,迷客夏/柳丁綠茶（青）.jpg,t,f, ,CG,D
D46,桂圓紅棗茶,桂圓紅棗茶好喝推推,迷客夏/桂圓紅棗茶.jpg,t,t, ,CX,D
D47,阿文鮮梅綠,阿文鮮梅綠人間極品,迷客夏/阿文鮮梅綠.jpg,t,t, ,CG,D
F01,招牌高山青,招牌高山青人間極品,TeaTop/招牌高山青.jpg,t,t, ,CR,F
F02,月亮熬奶（黑糖鮮奶珍珠）,月亮熬奶（黑糖鮮奶珍珠）好喝推推,TeaTop/月亮熬奶（黑糖鮮奶珍珠）.jpg,t,t, ,CM,F
F03,甘蔗青了,甘蔗青了人間極品,TeaTop/甘蔗青了.jpg,t,t, ,CR,F
F04,當代雙Q,當代雙Q好喝推推,TeaTop/當代雙Q.jpg,t,t, ,CX,F
F05,冷泡綠茶,冷泡綠茶人間極品,TeaTop/冷泡綠茶.jpg,t,f, ,CG,F
F06,紫芋西米露,紫芋西米露好喝推推,TeaTop/紫芋西米露.jpg,t,t, ,CX,F
F07,炭焙鐵觀音,炭焙鐵觀音人間極品,TeaTop/炭焙鐵觀音.jpg,t,t, ,CX,F
F08,日月潭紅茶,日月潭紅茶好喝推推,TeaTop/日月潭紅茶.jpg,t,t, ,CB,F
F09,茉香綠茶,茉香綠茶人間極品,TeaTop/茉香綠茶.jpg,t,t, ,CG,F
F10,大吉嶺紅茶,大吉嶺紅茶好喝推推,TeaTop/大吉嶺紅茶.jpg,t,t, ,CB,F
F11,金萱茶,金萱茶人間極品,TeaTop/金萱茶.jpg,t,t, ,CX,F
F12,古早味冬瓜茶,古早味冬瓜茶好喝推推,TeaTop/古早味冬瓜茶.jpg,t,f, ,CE,F
F13,蜜茶,蜜茶人間極品,TeaTop/蜜茶.jpg,t,f, ,CX,F
F14,冬瓜青茶,冬瓜青茶好喝推推,TeaTop/冬瓜青茶.jpg,t,f, ,CE,F
F15,蜂蜜綠茶,蜂蜜綠茶人間極品,TeaTop/蜂蜜綠茶.jpg,t,f, ,CG,F
F16,百香綠茶,百香綠茶好喝推推,TeaTop/百香綠茶.jpg,t,f, ,CG,F
F17,梅果綠茶,梅果綠茶人間極品,TeaTop/梅果綠茶.jpg,t,f, ,CG,F
F18,養樂多綠茶,養樂多綠茶好喝推推,TeaTop/養樂多綠茶.jpg,t,f, ,CG,F
F19,脆梅8冰綠,脆梅8冰綠人間極品,TeaTop/脆梅8冰綠.jpg,t,f, ,CG,F
